Artist,Album,Track Name,Track URI
Sosa UK,Bring It Back,Bring It Back,spotify:track:1EQ2D7HRLZDz2aPSibkACT
Lloyd,Street Love,You,spotify:track:5Y77SQxEr1eiofPeUTPHxM
MGMT,Little Dark Age,Little Dark Age,spotify:track:2Y0iGXY6m6immVb2ktbseM
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Mardy Bum,spotify:track:2fyIS6GXMgUcSv4oejx63f
The xx,xx,Islands,spotify:track:0Rqwa6i410IwhTiugt6vXi
ROSALÍA,Dolerme,Dolerme,spotify:track:2reL9PAUza4PUtbjqW1fRf
Frank Ocean,Lens,Lens,spotify:track:371H6HjS4SXGbQ9IVfFUIL
Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,Sweet,spotify:track:6x8g6DxglrzCSwKhv2Q1ee
Boris Brejcha,Feuerfalter Special Edition,Purple Noise,spotify:track:6BA2JM59JObFjHNvLK2KOg
Cheryl,3 Words,Fight For This Love,spotify:track:33IQnmtJYjCcrvUUMQgi80
Jorja Smith,On My Mind (Jorja Smith X Preditah),On My Mind (Jorja Smith X Preditah),spotify:track:1OxL1FWSEd7QmJoWLRP2NO
Lana Del Rey,Born To Die - The Paradise Edition,Without You,spotify:track:7cpHPzPgqKor6gv6nTkJ4R
Creedence Clearwater Revival,Pendulum,Have You Ever Seen The Rain,spotify:track:2LawezPeJhN4AWuSB0GtAU
Annie,Anthonio,Anthonio - Berlin Breakdown Version Remastered,spotify:track:1MCpVJ7tFCQR7qPYmxFL2s
Juice WRLD,Legends Never Die,Tell Me U Luv Me (with Trippie Redd),spotify:track:5JAYDuLRkODlVt6dgoalKk
Linkin Park,Meteora,Numb,spotify:track:2nLtzopw4rPReszdYBJU6h
Vanessa Paradis,Été chill,Walk On The Wild Side,spotify:track:1nieMhRGWrUn5u02nEqrYQ
Tame Impala,No Choice,No Choice,spotify:track:4dj1qglNo2j45K8z2sDFEY
Gunna,Drip Season 3,My Soul,spotify:track:0OQpNjKRWIuHwsw1pHb397
bôa,Twilight,Duvet,spotify:track:7urtwZEtOypb3r8HNi42dT
Mitski,Bury Me At Makeout Creek,Francis Forever,spotify:track:5411TEB6tlzvuF5A4oyldr
Sunni Colón,Supernova,Supernova,spotify:track:2fQo9apVAYggTBzaFPUh9B
SUICIDAL-IDOL,ecstacy (slowed),ecstacy (slowed),spotify:track:1JgknGBbrfmEHeOZH051SS
The Flaming Lips,Yoshimi Battles the Pink Robots,"Yoshimi Battles the Pink Robots, Pt. 1",spotify:track:0ccCwNzXvr1Yoz91vKz31Z
Takeoff,The Last Rocket,Casper,spotify:track:1B4gJRq61xTs6r1O0Uq2iY
Lorde,The Love Club EP,The Love Club,spotify:track:2HotTAoFiOYTeMZkNs1Ces
She Wants Revenge,Valleyheart,Take the World,spotify:track:2jbWLFoXwlARSLy9hIST0d
Floating Points,Shadows,Sais,spotify:track:5aTseUS5Gk4hnmllDliXBu
KAYTRANADA,BUBBA,Gray Area (feat. Mick Jenkins),spotify:track:3uJ0spXcRqOO8PCGAnjSeQ
lil aaron,GLOING PAIN$,NIGHTRIDER,spotify:track:75v1p677tO9W1Y95H0CJol
Still Woozy,Habit,Habit,spotify:track:4BsLwvaJOTOHDNg7xMpvrL
John Noseda,You Can Trust a Man with a Moustache Vol 4,Climax,spotify:track:4CuGnOLXcQuGU4ADch3W36
Dele Sosimi Afrobeat Orchestra,Too Much Information (Remixes),Too Much Information - Laolu Remix (Edit),spotify:track:1mHdnrcPMlhwFqMrsS9Kbx
Men At Work,Business As Usual,Down Under,spotify:track:3ZZq9396zv8pcn5GYVhxUi
Frank Ocean,Blonde,Skyline To,spotify:track:4xR3MAscflQ262kMeiKshQ
Billie Eilish,dont smile at me,hostage,spotify:track:1WsEgieHsWWndAzLkmV105
Joris Delacroix,Start The Engine,Start The Engine,spotify:track:22xBgJIhcEdAKNQTqOiRmj
Lana Del Rey,Born To Die - The Paradise Edition,This Is What Makes Us Girls,spotify:track:6QOU3FhUkPeA2RtaXcvgi7
Paul Conrad,Polaroids,Polaroids,spotify:track:0s5FYkxQHgoVf9zDPbt1Tz
Sevana,Be Somebody,Mango,spotify:track:49oIEfr2Il2yelVtaZTYyY
Françoise Hardy,Comment te dire adieu,Comment te dire adieu - Remasterisé en 2016,spotify:track:6g5qyQrAcoBX4X7XjxBoTO
